Name,Width,Height,Type,GlobalX,GlobalY
C18,4,6.1,ROOM,0,0
C17,4,6.1,ROOM,4,0
C13,4,6.1,ROOM,12,0
C12,4,6.1,ROOM,16,0
C11,4,3.1,ROOM,12,11.3
C2,4,6.1,ROOM,56,8.2
C1,4,6.1,ROOM,60,8.2
C16,4,2.1,AISLE,8,6.1
C15,4,2.1,AISLE,12,6.1
C14,4,2.1,AISLE,16,6.1
C19,4,2.1,AISLE,4,6.1
C9,4,2.1,AISLE,36,6.1
C8,4,2.1,AISLE,40,6.1
C7,4,2.1,AISLE,44,6.1
C6,4,2.1,AISLE,48,6.1
C5,4,2.1,AISLE,52,6.1
C4,4,2.1,AISLE,56,6.1
C3,4,2.1,AISLE,60,6.1
Aisle,72,2.1,AISLE,0,6.1
LowerLeft,12,6.1,BLOCKED,0,8.2
UpperRight,16,6.1,BLOCKED,56,0
Between17And13,4,6.1,BLOCKED,8,0
RoomsUp,36,6.1,BLOCKED,20,0
RoomsDown,40,6.1,BLOCKED,16,8.2
RoomsDownRight,8,6.1,BLOCKED,64,8.2